iter	Passed	Remaining
551	5944	4824
552	5951	4810
553	5960	4798
554	5967	4784
555	5976	4772
556	5985	4760
557	5994	4748
558	6002	4735
559	6011	4723
560	6035	4722
561	6045	4711
562	6054	4699
563	6063	4687
564	6074	4676
565	6089	4669
566	6099	4658
567	6111	4648
568	6125	4639
569	6135	4628
570	6148	4619
571	6163	4611
572	6173	4600
573	6184	4589
574	6197	4580
575	6210	4571
576	6228	4566
577	6236	4553
578	6246	4541
579	6261	4533
580	6270	4522
581	6279	4510
582	6286	4496
583	6295	4484
584	6302	4470
585	6314	4460
586	6321	4447
587	6331	4436
588	6341	4424
589	6354	4416
590	6363	4403
591	6373	4392
592	6384	4382
593	6393	4369
594	6405	4359
595	6414	4348
596	6424	4336
597	6456	4340
598	6465	4328
599	6473	4315
600	6483	4304
601	6491	4291
602	6501	4280
603	6509	4268
604	6519	4256
605	6529	4245
606	6538	4233
607	6547	4221
608	6555	4208
609	6564	4197
610	6574	4186
611	6582	4173
612	6591	4161
613	6603	4151
614	6612	4139
615	6622	4128
616	6632	4116
617	6640	4104
618	6653	4095
619	6666	4085
620	6674	4073
621	6683	4061
622	6693	4050
623	6702	4038
624	6712	4027
625	6720	4015
626	6730	4003
627	6738	3991
628	6744	3978
629	6768	3974
630	6775	3962
631	6781	3948
632	6793	3938
633	6800	3926
634	6808	3913
635	6815	3900
636	6828	3891
637	6840	3881
638	6849	3869
639	6861	3859
640	6881	3854
641	6890	3842
642	6899	3830
643	6911	3820
644	6920	3808
645	6929	3797
646	6937	3784
647	6946	3773
648	6958	3763
649	6967	3751
650	6974	3738
651	6985	3728
652	6992	3715
653	7000	3703
654	7009	3691
655	7034	3689
656	7044	3677
657	7055	3667
658	7067	3656
659	7076	3645
660	7088	3635
661	7097	3623
662	7105	3611
663	7114	3600
664	7125	3589
665	7134	3577
666	7146	3567
667	7156	3556
668	7166	3545
669	7177	3535
670	7186	3523
671	7194	3511
672	7204	3500
673	7215	3489
674	7224	3478
675	7235	3467
676	7243	3456
677	7251	3443
678	7259	3431
679	7266	3419
680	7279	3409
681	7287	3397
682	7295	3385
683	7304	3374
684	7315	3364
685	7326	3353
686	7337	3343
687	7346	3331
688	7355	3320
689	7366	3309
690	7377	3299
691	7388	3288
692	7398	3277
693	7413	3268
694	7423	3257
695	7430	3245
696	7440	3234
697	7448	3222
698	7456	3210
699	7464	3199
700	7476	3188
701	7484	3177
702	7493	3166
703	7502	3154
704	7511	3143
705	7519	3131
706	7526	3119
707	7538	3108
708	7545	3097
